Time Bands,Frequency,SE,Species
2016,0.073490932,0.013254978,Bengal Bushlark
2017,0.087920241,0.01555121,Bengal Bushlark
2018,0.073998126,0.013245565,Bengal Bushlark
before 2000,NA,NA,Bengal Florican
2000-2006,NA,NA,Bengal Florican
2007-2010,NA,NA,Bengal Florican
2011-2012,NA,NA,Bengal Florican
2013,NA,NA,Bengal Florican
2014,NA,NA,Bengal Florican
2015,NA,NA,Bengal Florican
2016,NA,NA,Bengal Florican
2017,NA,NA,Bengal Florican
2018,NA,NA,Bengal Florican
before 2000,NA,NA,Bengal Weaver
2000-2006,NA,NA,Bengal Weaver
2007-2010,NA,NA,Bengal Weaver
2011-2012,NA,NA,Bengal Weaver
2013,NA,NA,Bengal Weaver
2014,0.046372411,0.008374856,Bengal Weaver
2015,0.06151139,0.010657332,Bengal Weaver
2016,0.041526056,0.007273857,Bengal Weaver
2017,0.046068886,0.007827567,Bengal Weaver
2018,0.044424416,0.007623843,Bengal Weaver
before 2000,NA,NA,Besra
2000-2006,NA,NA,Besra
2007-2010,NA,NA,Besra
2011-2012,NA,NA,Besra
2013,NA,NA,Besra
2014,NA,NA,Besra
2015,NA,NA,Besra
2016,NA,NA,Besra
2017,NA,NA,Besra
2018,NA,NA,Besra
before 2000,NA,NA,Bhutan Laughingthrush
2000-2006,NA,NA,Bhutan Laughingthrush
2007-2010,NA,NA,Bhutan Laughingthrush
2011-2012,NA,NA,Bhutan Laughingthrush
2013,NA,NA,Bhutan Laughingthrush
2014,0.045225546,0.023166938,Bhutan Laughingthrush
2015,0.030557568,0.01567271,Bhutan Laughingthrush
2016,0.044295809,0.02230734,Bhutan Laughingthrush
2017,0.03234632,0.016220813,Bhutan Laughingthrush
2018,0.052835371,0.02601135,Bhutan Laughingthrush
before 2000,NA,NA,Black-and-orange Flycatcher
2000-2006,NA,NA,Black-and-orange Flycatcher
2007-2010,NA,NA,Black-and-orange Flycatcher
2011-2012,NA,NA,Black-and-orange Flycatcher
2013,NA,NA,Black-and-orange Flycatcher
2014,0.002456625,0.000679407,Black-and-orange Flycatcher
2015,0.00214849,0.000590132,Black-and-orange Flycatcher
2016,0.002006754,0.00055373,Black-and-orange Flycatcher
2017,0.002723432,0.000745362,Black-and-orange Flycatcher
2018,0.003296811,0.000898617,Black-and-orange Flycatcher
before 2000,NA,NA,Black-and-yellow Grosbeak
2000-2006,NA,NA,Black-and-yellow Grosbeak
2007-2010,NA,NA,Black-and-yellow Grosbeak
2011-2012,NA,NA,Black-and-yellow Grosbeak
2013,NA,NA,Black-and-yellow Grosbeak
2014,NA,NA,Black-and-yellow Grosbeak
2015,NA,NA,Black-and-yellow Grosbeak
2016,NA,NA,Black-and-yellow Grosbeak
2017,NA,NA,Black-and-yellow Grosbeak
2018,NA,NA,Black-and-yellow Grosbeak
before 2000,NA,NA,Black-backed Dwarf-Kingfisher
2000-2006,NA,NA,Black-backed Dwarf-Kingfisher
2007-2010,NA,NA,Black-backed Dwarf-Kingfisher
2011-2012,NA,NA,Black-backed Dwarf-Kingfisher
2013,NA,NA,Black-backed Dwarf-Kingfisher
2014,0.016504718,0.011960838,Black-backed Dwarf-Kingfisher
2015,0.015587119,0.011360317,Black-backed Dwarf-Kingfisher
2016,0.017424228,0.012648621,Black-backed Dwarf-Kingfisher
2017,0.022046526,0.015956696,Black-backed Dwarf-Kingfisher
2018,0.034372944,0.02458857,Black-backed Dwarf-Kingfisher
before 2000,NA,NA,Black-backed Forktail
2000-2006,NA,NA,Black-backed Forktail
2007-2010,NA,NA,Black-backed Forktail
2011-2012,NA,NA,Black-backed Forktail
2013,NA,NA,Black-backed Forktail
2014,0.132928099,0.223272873,Black-backed Forktail
2015,0.115985579,0.243833185,Black-backed Forktail
2016,0.125564208,0.231951776,Black-backed Forktail
2017,0.12650925,0.229869794,Black-backed Forktail
2018,0.13399708,0.22055343,Black-backed Forktail
before 2000,0.087970432,0.04157884,Black-bellied Plover
2000-2006,0.04924882,0.023511824,Black-bellied Plover
2007-2010,0.03589734,0.01708051,Black-bellied Plover
2011-2012,0.029621543,0.014174893,Black-bellied Plover
2013,0.032201405,0.015384853,Black-bellied Plover
2014,0.013882326,0.00657808,Black-bellied Plover
2015,0.012325733,0.00580669,Black-bellied Plover
2016,0.014647084,0.00689035,Black-bellied Plover
2017,0.012230488,0.00579026,Black-bellied Plover
2018,0.01161779,0.005492827,Black-bellied Plover
before 2000,NA,NA,Black-bellied Tern
2000-2006,NA,NA,Black-bellied Tern
2007-2010,NA,NA,Black-bellied Tern
2011-2012,NA,NA,Black-bellied Tern
2013,NA,NA,Black-bellied Tern
2014,NA,NA,Black-bellied Tern
2015,NA,NA,Black-bellied Tern
2016,NA,NA,Black-bellied Tern
2017,NA,NA,Black-bellied Tern
2018,NA,NA,Black-bellied Tern
before 2000,NA,NA,Black-breasted Parrotbill
2000-2006,NA,NA,Black-breasted Parrotbill
2007-2010,NA,NA,Black-breasted Parrotbill
2011-2012,NA,NA,Black-breasted Parrotbill
2013,NA,NA,Black-breasted Parrotbill
2014,NA,NA,Black-breasted Parrotbill
2015,NA,NA,Black-breasted Parrotbill
2016,NA,NA,Black-breasted Parrotbill
2017,NA,NA,Black-breasted Parrotbill
2018,NA,NA,Black-breasted Parrotbill
before 2000,NA,NA,Black-breasted Tit
2000-2006,NA,NA,Black-breasted Tit
2007-2010,NA,NA,Black-breasted Tit
2011-2012,NA,NA,Black-breasted Tit
2013,NA,NA,Black-breasted Tit
2014,0.063731145,0.020759313,Black-breasted Tit
2015,0.062938846,0.020220619,Black-breasted Tit
2016,0.058686174,0.018837858,Black-breasted Tit
2017,0.041910254,0.013533758,Black-breasted Tit
2018,0.048297825,0.01562746,Black-breasted Tit
before 2000,NA,NA,Black-browed Tit
2000-2006,NA,NA,Black-browed Tit
2007-2010,NA,NA,Black-browed Tit
2011-2012,NA,NA,Black-browed Tit
2013,NA,NA,Black-browed Tit
2014,NA,NA,Black-browed Tit
2015,NA,NA,Black-browed Tit
2016,NA,NA,Black-browed Tit
2017,NA,NA,Black-browed Tit
2018,NA,NA,Black-browed Tit
before 2000,0.058285046,0.016143357,Black-capped Kingfisher
2000-2006,0.043770246,0.012238633,Black-capped Kingfisher
2007-2010,0.037520645,0.010612587,Black-capped Kingfisher
2011-2012,0.02239882,0.00641574,Black-capped Kingfisher
2013,0.017608995,0.005043628,Black-capped Kingfisher
2014,0.011688196,0.00325247,Black-capped Kingfisher
2015,0.010310948,0.002860975,Black-capped Kingfisher
2016,0.011748335,0.003238982,Black-capped Kingfisher
2017,0.009564368,0.002656093,Black-capped Kingfisher
2018,0.008713952,0.002397528,Black-capped Kingfisher
before 2000,0.041558121,0.010360706,Black-chinned Babbler
2000-2006,0.062189353,0.013631785,Black-chinned Babbler
2007-2010,0.051195447,0.011441016,Black-chinned Babbler
2011-2012,0.037920957,0.008783445,Black-chinned Babbler
2013,0.028921636,0.006861508,Black-chinned Babbler
2014,0.03024749,0.006356179,Black-chinned Babbler
2015,0.038506881,0.007884567,Black-chinned Babbler
2016,0.034906049,0.007086368,Black-chinned Babbler
2017,0.043786255,0.00880944,Black-chinned Babbler
2018,0.04167051,0.008336671,Black-chinned Babbler
before 2000,NA,NA,Black-chinned Yuhina
2000-2006,NA,NA,Black-chinned Yuhina
2007-2010,NA,NA,Black-chinned Yuhina
2011-2012,NA,NA,Black-chinned Yuhina
2013,NA,NA,Black-chinned Yuhina
2014,0.032445955,0.021847306,Black-chinned Yuhina
2015,0.040749977,0.027290474,Black-chinned Yuhina
2016,0.036205698,0.024386968,Black-chinned Yuhina
2017,0.034172231,0.022965191,Black-chinned Yuhina
2018,0.033323427,0.022376981,Black-chinned Yuhina
before 2000,0.111920043,0.020397366,Black-crested Bulbul
2000-2006,0.137049839,0.024929386,Black-crested Bulbul
2007-2010,0.114437199,0.020233365,Black-crested Bulbul
2011-2012,0.098661584,0.017639107,Black-crested Bulbul
2013,0.096584527,0.017020263,Black-crested Bulbul
2014,0.096266034,0.015919503,Black-crested Bulbul
2015,0.094765114,0.015387285,Black-crested Bulbul
2016,0.110693475,0.017589219,Black-crested Bulbul
2017,0.106658095,0.016993143,Black-crested Bulbul
2018,0.120433195,0.019028265,Black-crested Bulbul
before 2000,0.055126912,0.00477117,Black-crowned Night-Heron
2000-2006,0.063325067,0.005361323,Black-crowned Night-Heron
2007-2010,0.092304906,0.006752128,Black-crowned Night-Heron
2011-2012,0.082753057,0.006449823,Black-crowned Night-Heron
2013,0.073760774,0.005265622,Black-crowned Night-Heron
2014,0.063306724,0.004139774,Black-crowned Night-Heron
2015,0.069770025,0.004396437,Black-crowned Night-Heron
2016,0.059531563,0.003762841,Black-crowned Night-Heron
2017,0.060800278,0.003778867,Black-crowned Night-Heron
2018,0.061898523,0.003851745,Black-crowned Night-Heron
before 2000,NA,NA,Black-faced Warbler
2000-2006,NA,NA,Black-faced Warbler
2007-2010,NA,NA,Black-faced Warbler
2011-2012,NA,NA,Black-faced Warbler
2013,NA,NA,Black-faced Warbler
2014,0.026846115,0.008335056,Black-faced Warbler
2015,0.028819925,0.008681689,Black-faced Warbler
2016,0.030123118,0.00897772,Black-faced Warbler
2017,0.033497511,0.009978947,Black-faced Warbler
2018,0.027451589,0.008089264,Black-faced Warbler
before 2000,NA,NA,Black-headed Bunting
2000-2006,NA,NA,Black-headed Bunting
2007-2010,NA,NA,Black-headed Bunting
2011-2012,NA,NA,Black-headed Bunting
2013,NA,NA,Black-headed Bunting
2014,0.02058677,0.004983783,Black-headed Bunting
2015,0.023295894,0.005458937,Black-headed Bunting
2016,0.03001038,0.006800561,Black-headed Bunting
2017,0.03008122,0.006718121,Black-headed Bunting
2018,0.03996164,0.008883935,Black-headed Bunting
before 2000,0.047686695,0.005278706,Black-headed Cuckooshrike
2000-2006,0.038236782,0.00448131,Black-headed Cuckooshrike
2007-2010,0.033130712,0.003791121,Black-headed Cuckooshrike
2011-2012,0.034517223,0.003959473,Black-headed Cuckooshrike
2013,0.030857456,0.003245013,Black-headed Cuckooshrike
2014,0.021830233,0.002142621,Black-headed Cuckooshrike
2015,0.021996896,0.002090676,Black-headed Cuckooshrike
2016,0.022413101,0.002111117,Black-headed Cuckooshrike
2017,0.023765041,0.002224857,Black-headed Cuckooshrike
2018,0.024007337,0.002221432,Black-headed Cuckooshrike
before 2000,0.048635481,0.007779626,Black-headed Gull
2000-2006,0.040308925,0.006462544,Black-headed Gull
2007-2010,0.034777683,0.005547777,Black-headed Gull
2011-2012,0.032285969,0.005076752,Black-headed Gull
2013,0.030870587,0.004632186,Black-headed Gull
2014,0.020776752,0.003117952,Black-headed Gull
2015,0.022996468,0.003334083,Black-headed Gull
2016,0.015659614,0.00231186,Black-headed Gull
2017,0.017300592,0.002509355,Black-headed Gull
2018,0.017812101,0.002605364,Black-headed Gull
before 2000,0.060126547,0.004997219,Black-headed Ibis
2000-2006,0.101891521,0.007993632,Black-headed Ibis
2007-2010,0.102303934,0.007429704,Black-headed Ibis
2011-2012,0.13211804,0.00953304,Black-headed Ibis
2013,0.122934155,0.008459931,Black-headed Ibis
2014,0.115766047,0.00764925,Black-headed Ibis
2015,0.117986639,0.007567232,Black-headed Ibis
2016,0.112001667,0.007132325,Black-headed Ibis
2017,0.100436242,0.006492586,Black-headed Ibis
2018,0.108192541,0.006976223,Black-headed Ibis
before 2000,0.080267318,0.022867898,Black-headed Jay
2000-2006,0.069257449,0.01925642,Black-headed Jay
2007-2010,0.060038041,0.016753414,Black-headed Jay
2011-2012,0.102424562,0.027070782,Black-headed Jay
2013,0.045533104,0.012838201,Black-headed Jay
2014,0.058459206,0.01524488,Black-headed Jay
2015,0.071162675,0.017678832,Black-headed Jay
2016,0.05251366,0.01322148,Black-headed Jay
2017,0.055893406,0.01392653,Black-headed Jay
2018,0.06426519,0.015976304,Black-headed Jay
before 2000,NA,NA,Black-headed Shrike-Babbler
2000-2006,NA,NA,Black-headed Shrike-Babbler
2007-2010,NA,NA,Black-headed Shrike-Babbler
2011-2012,NA,NA,Black-headed Shrike-Babbler
2013,NA,NA,Black-headed Shrike-Babbler
2014,NA,NA,Black-headed Shrike-Babbler
2015,NA,NA,Black-headed Shrike-Babbler
2016,NA,NA,Black-headed Shrike-Babbler
2017,NA,NA,Black-headed Shrike-Babbler
2018,NA,NA,Black-headed Shrike-Babbler
before 2000,0.177567273,0.016896549,Black-hooded Oriole
2000-2006,0.157495134,0.015114419,Black-hooded Oriole
2007-2010,0.147712432,0.014124016,Black-hooded Oriole
2011-2012,0.150934211,0.014533926,Black-hooded Oriole
2013,0.165757404,0.015119975,Black-hooded Oriole
2014,0.143591335,0.013037364,Black-hooded Oriole
2015,0.150854073,0.013394196,Black-hooded Oriole
2016,0.140230615,0.012485836,Black-hooded Oriole
2017,0.14596885,0.012984657,Black-hooded Oriole
2018,0.145402813,0.012938444,Black-hooded Oriole
before 2000,0.110040294,0.010641647,Black-naped Monarch
2000-2006,0.141086343,0.01329187,Black-naped Monarch
2007-2010,0.119122452,0.011275971,Black-naped Monarch
2011-2012,0.068954249,0.006802833,Black-naped Monarch
2013,0.056413954,0.005318004,Black-naped Monarch
2014,0.059860516,0.005313319,Black-naped Monarch
2015,0.06208865,0.005511785,Black-naped Monarch
2016,0.055140832,0.004882557,Black-naped Monarch
2017,0.063279037,0.005509982,Black-naped Monarch
2018,0.058500521,0.005101998,Black-naped Monarch
before 2000,0.016345533,0.005208723,Black-naped Oriole
2000-2006,0.02321236,0.007379955,Black-naped Oriole
2007-2010,0.039265317,0.011820302,Black-naped Oriole
2011-2012,0.028561272,0.008861086,Black-naped Oriole
2013,0.024920621,0.007655699,Black-naped Oriole
2014,0.017046891,0.005256526,Black-naped Oriole
2015,0.018401314,0.005581977,Black-naped Oriole
2016,0.017886134,0.005383665,Black-naped Oriole
2017,0.015598397,0.004701634,Black-naped Oriole
2018,0.014475477,0.004315366,Black-naped Oriole
before 2000,NA,NA,Black-necked Crane
2000-2006,NA,NA,Black-necked Crane
2007-2010,NA,NA,Black-necked Crane
2011-2012,NA,NA,Black-necked Crane
2013,NA,NA,Black-necked Crane
2014,NA,NA,Black-necked Crane
2015,NA,NA,Black-necked Crane
2016,NA,NA,Black-necked Crane
2017,NA,NA,Black-necked Crane
2018,NA,NA,Black-necked Crane
before 2000,0.053464439,0.010797772,Black-necked Stork
2000-2006,0.061627408,0.012237425,Black-necked Stork
2007-2010,0.063282853,0.011951843,Black-necked Stork
2011-2012,0.051837414,0.010025698,Black-necked Stork
2013,0.060649667,0.011727098,Black-necked Stork
2014,0.054635821,0.009771381,Black-necked Stork
2015,0.041124326,0.007353179,Black-necked Stork
2016,0.02767924,0.004955035,Black-necked Stork
2017,0.036643426,0.006489326,Black-necked Stork
2018,0.032642664,0.005764938,Black-necked Stork
before 2000,0.147671094,0.009587077,Black-rumped Flameback
2000-2006,0.138497091,0.009075625,Black-rumped Flameback
2007-2010,0.143524231,0.008992205,Black-rumped Flameback
2011-2012,0.127292937,0.008269114,Black-rumped Flameback
2013,0.12926149,0.007720714,Black-rumped Flameback
2014,0.10771739,0.006157019,Black-rumped Flameback
2015,0.117338229,0.006558901,Black-rumped Flameback
2016,0.115915165,0.00646048,Black-rumped Flameback
2017,0.120638118,0.006674204,Black-rumped Flameback
2018,0.128638992,0.007113979,Black-rumped Flameback
before 2000,NA,NA,Black-tailed Crake
2000-2006,NA,NA,Black-tailed Crake
2007-2010,NA,NA,Black-tailed Crake
2011-2012,NA,NA,Black-tailed Crake
2013,NA,NA,Black-tailed Crake
2014,NA,NA,Black-tailed Crake
2015,NA,NA,Black-tailed Crake
2016,NA,NA,Black-tailed Crake
2017,NA,NA,Black-tailed Crake
2018,NA,NA,Black-tailed Crake
before 2000,0.058492658,0.007785414,Black-tailed Godwit
2000-2006,0.088635977,0.011759326,Black-tailed Godwit
2007-2010,0.055980033,0.007417118,Black-tailed Godwit
2011-2012,0.064937817,0.008756626,Black-tailed Godwit
2013,0.051868549,0.006731459,Black-tailed Godwit
2014,0.034072199,0.004371079,Black-tailed Godwit
2015,0.031831925,0.004009654,Black-tailed Godwit
2016,0.038341302,0.004806129,Black-tailed Godwit
2017,0.029359919,0.003703575,Black-tailed Godwit
2018,0.032648432,0.004076747,Black-tailed Godwit
before 2000,NA,NA,Black-throated Accentor
2000-2006,NA,NA,Black-throated Accentor
2007-2010,NA,NA,Black-throated Accentor
2011-2012,NA,NA,Black-throated Accentor
2013,NA,NA,Black-throated Accentor
2014,NA,NA,Black-throated Accentor
2015,NA,NA,Black-throated Accentor
2016,NA,NA,Black-throated Accentor
2017,NA,NA,Black-throated Accentor
2018,NA,NA,Black-throated Accentor
before 2000,NA,NA,Black-throated Munia
2000-2006,NA,NA,Black-throated Munia
2007-2010,NA,NA,Black-throated Munia
2011-2012,NA,NA,Black-throated Munia
2013,NA,NA,Black-throated Munia
2014,0.010185594,0.00234069,Black-throated Munia
2015,0.008936955,0.001997322,Black-throated Munia
2016,0.009060282,0.002019829,Black-throated Munia
2017,0.008975993,0.001994451,Black-throated Munia
2018,0.009316217,0.002073741,Black-throated Munia
before 2000,NA,NA,Black-throated Parrotbill
2000-2006,NA,NA,Black-throated Parrotbill
2007-2010,NA,NA,Black-throated Parrotbill
2011-2012,NA,NA,Black-throated Parrotbill
2013,NA,NA,Black-throated Parrotbill
2014,NA,NA,Black-throated Parrotbill
2015,NA,NA,Black-throated Parrotbill
2016,NA,NA,Black-throated Parrotbill
2017,NA,NA,Black-throated Parrotbill
2018,NA,NA,Black-throated Parrotbill
before 2000,NA,NA,Black-throated Prinia
2000-2006,NA,NA,Black-throated Prinia
2007-2010,NA,NA,Black-throated Prinia
2011-2012,NA,NA,Black-throated Prinia
2013,NA,NA,Black-throated Prinia
2014,NA,NA,Black-throated Prinia
2015,NA,NA,Black-throated Prinia
2016,NA,NA,Black-throated Prinia
2017,NA,NA,Black-throated Prinia
2018,NA,NA,Black-throated Prinia
before 2000,NA,NA,Black-throated Sunbird
2000-2006,NA,NA,Black-throated Sunbird
2007-2010,NA,NA,Black-throated Sunbird
2011-2012,NA,NA,Black-throated Sunbird
2013,NA,NA,Black-throated Sunbird
2014,0.036450866,0.011639403,Black-throated Sunbird
2015,0.023697791,0.007618339,Black-throated Sunbird
2016,0.045143486,0.01415401,Black-throated Sunbird
2017,0.041068959,0.012903045,Black-throated Sunbird
2018,0.049967499,0.015573905,Black-throated Sunbird
before 2000,0.093056746,0.018845168,Black-throated Tit
2000-2006,0.091716301,0.017832851,Black-throated Tit
2007-2010,0.090117874,0.017136668,Black-throated Tit
2011-2012,0.087610975,0.01678029,Black-throated Tit
2013,0.089653115,0.016592237,Black-throated Tit
2014,0.089558677,0.015945426,Black-throated Tit
2015,0.09146737,0.015887062,Black-throated Tit
2016,0.069169152,0.012038358,Black-throated Tit
2017,0.075561512,0.013155182,Black-throated Tit
2018,0.071229265,0.012451106,Black-throated Tit
before 2000,0.04499668,0.017586013,Black-winged Cuckooshrike
2000-2006,0.037832406,0.015042259,Black-winged Cuckooshrike
2007-2010,0.05171705,0.020166267,Black-winged Cuckooshrike
2011-2012,0.033730514,0.01309478,Black-winged Cuckooshrike
2013,0.035595491,0.013847469,Black-winged Cuckooshrike
2014,0.023210834,0.008901445,Black-winged Cuckooshrike
2015,0.025655394,0.009839925,Black-winged Cuckooshrike
2016,0.031632125,0.012020665,Black-winged Cuckooshrike
2017,0.03152769,0.011930622,Black-winged Cuckooshrike
2018,0.030831122,0.011691383,Black-winged Cuckooshrike
before 2000,0.190933472,0.011099547,Black-winged Kite
2000-2006,0.148919096,0.009184752,Black-winged Kite
2007-2010,0.169782129,0.009952093,Black-winged Kite
2011-2012,0.196689076,0.011641305,Black-winged Kite
2013,0.164163057,0.009295658,Black-winged Kite
2014,0.153893756,0.008446911,Black-winged Kite
2015,0.140209225,0.007524808,Black-winged Kite
2016,0.133792582,0.007160561,Black-winged Kite
2017,0.123563673,0.006637407,Black-winged Kite
2018,0.124767254,0.0067015,Black-winged Kite
before 2000,0.152310462,0.01179702,Black-winged Stilt
2000-2006,0.150093179,0.012245591,Black-winged Stilt
2007-2010,0.144525573,0.011227079,Black-winged Stilt
2011-2012,0.158934139,0.012222636,Black-winged Stilt
2013,0.137556846,0.010481611,Black-winged Stilt
2014,0.125897542,0.009250559,Black-winged Stilt
2015,0.12935762,0.009371108,Black-winged Stilt
2016,0.134903884,0.009757671,Black-winged Stilt
2017,0.11564877,0.008478256,Black-winged Stilt
2018,0.130916107,0.00946616,Black-winged Stilt
before 2000,NA,NA,Black Baza
2000-2006,NA,NA,Black Baza
2007-2010,NA,NA,Black Baza
2011-2012,NA,NA,Black Baza
2013,NA,NA,Black Baza
2014,0.009197784,0.00851927,Black Baza
2015,0.007970488,0.007410622,Black Baza
2016,0.006822557,0.006334363,Black Baza
2017,0.010255568,0.009461511,Black Baza
2018,0.007458863,0.006904682,Black Baza
before 2000,0.019183157,0.00328019,Black Bittern
2000-2006,0.033364809,0.005296807,Black Bittern
2007-2010,0.030270954,0.004769849,Black Bittern
2011-2012,0.032621329,0.005108409,Black Bittern
2013,0.040367958,0.005639945,Black Bittern
2014,0.034393572,0.004372479,Black Bittern
2015,0.036294997,0.004410683,Black Bittern
2016,0.029365837,0.003602163,Black Bittern
2017,0.020081043,0.002479382,Black Bittern
2018,0.020357434,0.002503703,Black Bittern
before 2000,0.096755651,0.015745752,Black Bulbul
2000-2006,0.114251046,0.018612439,Black Bulbul
2007-2010,0.084352049,0.013348062,Black Bulbul
2011-2012,0.115693223,0.018001894,Black Bulbul
2013,0.121551465,0.018183405,Black Bulbul
2014,0.107913607,0.015353832,Black Bulbul
2015,0.116825266,0.016025684,Black Bulbul
2016,0.111534957,0.015667229,Black Bulbul
2017,0.11257525,0.015496787,Black Bulbul
2018,0.131615555,0.017972651,Black Bulbul
before 2000,0.328648077,0.013687081,Black Drongo
2000-2006,0.331247257,0.013579331,Black Drongo
2007-2010,0.353799231,0.014092075,Black Drongo
2011-2012,0.41709276,0.015207738,Black Drongo
2013,0.493410956,0.015695056,Black Drongo
2014,0.483147848,0.014596373,Black Drongo
2015,0.443107639,0.013871992,Black Drongo
2016,0.420944634,0.013429208,Black Drongo
2017,0.436453227,0.013735484,Black Drongo
2018,0.434352493,0.013616257,Black Drongo
before 2000,0.033285869,0.00377378,Black Eagle
2000-2006,0.028892552,0.003269633,Black Eagle
2007-2010,0.038543786,0.004156583,Black Eagle
2011-2012,0.038894346,0.004059618,Black Eagle
2013,0.031179343,0.003117429,Black Eagle
2014,0.02707598,0.002515354,Black Eagle
2015,0.024408339,0.002200397,Black Eagle
2016,0.024895024,0.002224736,Black Eagle
2017,0.02205711,0.001963484,Black Eagle
2018,0.021711854,0.001931001,Black Eagle
before 2000,0.113260389,0.018367074,Black Francolin
2000-2006,0.078146625,0.013993551,Black Francolin
2007-2010,0.068929354,0.012242076,Black Francolin
2011-2012,0.080246,0.013718549,Black Francolin
2013,0.075693223,0.012779193,Black Francolin
2014,0.069852126,0.01078885,Black Francolin
2015,0.066459868,0.010087142,Black Francolin
2016,0.063037407,0.00953151,Black Francolin
2017,0.069042282,0.010196917,Black Francolin
2018,0.07502891,0.010998539,Black Francolin
